Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score, frame = '',blockiness = '',spatialactivity = '',letterbox = '',pillarbox = '',blockloss = '',blur = '',temporalact = '',blockout = '',freezing = '',exposure = '',contrast = '',brightness = '',interlace = '',noise = '',slice = '',flickering = '',fps = ''
foreman_plr10_8022, foreman_, 352x288,  I420,65.65538721,0.846069575
mother_plr0.1_3176, mother_, 352x288,  I420,97.6473433,3.5002375
,,,,,
mother_plr1_2081, mother_, 352x288,  I420,93.93302142,2.417515625
,,,,,
mother_plr3_8253, mother_, 352x288,  I420,92.66770381,1.53363125
,,,,,
mother_plr5_8420, mother_, 352x288,  I420,83.05416088,2.251950625
,,,,,
mother_plr1_522, mother_, 352x288,  I420,93.38223727,2.99607375
,,,,,
mother_plr0.1_522, mother_, 352x288,  I420,97.33826877,3.384776875
,,,,,
mother, mother_, 352x288,  I420,98.34038607,4.540816875
,,,,,
mother_plr10_1587, mother_, 352x288,  I420,72.44761044,1.02749245
,,,,,
mother_plr0.4_5435, mother_, 352x288,  I420,95.06857089,2.554847375
,,,,,
mother_plr0.4_1587, mother_, 352x288,  I420,96.14329944,3.08007625
,,,,,
mother_plr3_167, mother_, 352x288,  I420,89.62466174,1.47040825
,,,,,
mother_plr5_5452, mother_, 352x288,  I420,75.863274,1.882532125
,,,,,
mother_plr10_8420, mother_, 352x288,  I420,63.55643575,1.512140875
,,,,,
news_plr0.1_2081, news_, 352x288,  I420,98.41519337,4.79350375
,,,,,
news_plr10_8297, news_, 352x288,  I420,66.30494744,1.304268875
,,,,,
news_plr1_8022, news_, 352x288,  I420,94.35400099,3.177613125
,,,,,
news_plr10_1790, news_, 352x288,  I420,64.52953495,1.1406042
,,,,,
news_plr3_8022, news_, 352x288,  I420,85.67103599,1.36148075
,,,,,
news_plr5_8022, news_, 352x288,  I420,77.67145323,1.766555
,,,,,
news, news_, 352x288,  I420,98.53308522,4.81659625
,,,,,
news_plr0.1_8022, news_, 352x288,  I420,98.45493622,4.762814375
,,,,,
news_plr0.4_8297, news_, 352x288,  I420,97.55417937,4.0475275
,,,,,
news_plr0.4_8253, news_, 352x288,  I420,97.51375568,3.7582075
,,,,,
news_plr5_1587, news_, 352x288,  I420,78.74477853,1.6692275
,,,,,
news_plr1_8297, news_, 352x288,  I420,95.00130775,3.0037575
,,,,,
news_plr3_2081, news_, 352x288,  I420,83.9721014,1.37862075
,,,,,
paris_plr3_7393, paris_, 352x288,  I420,79.17485932,0.960776
,,,,,
paris_plr0.4_2081, paris_, 352x288,  I420,98.25090718,4.053715625
,,,,,
paris_plr0.1_3176, paris_, 352x288,  I420,97.85201692,3.434136875
,,,,,
paris_plr0.1_1825, paris_, 352x288,  I420,98.84305085,4.28787125
,,,,,
paris_plr0.4_3176, paris_, 352x288,  I420,97.79181225,4.11035625
,,,,,
paris_plr5_3652, paris_, 352x288,  I420,73.61876442,1.461039625
,,,,,
paris_plr10_3652, paris_, 352x288,  I420,59.26376641,0.83556225
,,,,,
paris_plr1_3176, paris_, 352x288,  I420,94.99171272,3.02020375
,,,,,
paris, paris_, 352x288,  I420,99.08228343,4.7902475
,,,,,
paris_plr3_522, paris_, 352x288,  I420,80.46458708,0.9923422
,,,,,
paris_plr5_8253, paris_, 352x288,  I420,73.14809923,1.398097125
,,,,,
paris_plr1_8043, paris_, 352x288,  I420,96.71028149,3.296200875
,,,,,
paris_plr10_5462, paris_, 352x288,  I420,54.83498033,0.85532305
