Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
CROWDRUN_plr10_4374, CROWDRUN_, 704x576,  I420, 54.791487665, 0.64, 22.417545, 0.845335, 0.876474
HARBOUR_plr10_4109, HARBOUR_, 704x576,  I420, 67.8361173967, 1.57, 27.809222, 0.934117, 0.948789
HARBOUR_plr3_8022, HARBOUR_, 704x576,  I420, 85.3503229942, 2.32, 32.574605, 0.972812, 0.978513
HARBOUR_plr1_167, HARBOUR_, 704x576,  I420, 96.7600316212, 3.09, 38.796217, 0.992187, 0.993623
HARBOUR_plr1_5462, HARBOUR_, 704x576,  I420, 97.2468116086, 3.11, 41.519948, 0.992754, 0.993489
HARBOUR_plr0.4_8552, HARBOUR_, 704x576,  I420, 99.8462843841, 4.14, 49.652784, 0.998474, 0.998989
HARBOUR_plr0.4_7393, HARBOUR_, 704x576,  I420, 99.2595054457, 4.05, 46.602379, 0.997318, 0.997995
HARBOUR_plr0.1_8552, HARBOUR_, 704x576,  I420, 99.9888797068, 4.21, 53.405705, 0.999323, 0.999498
HARBOUR_plr10_8022, HARBOUR_, 704x576,  I420, 58.3767042843, 1.1, 25.947215, 0.906810, 0.919539
HARBOUR_plr3_5462, HARBOUR_, 704x576,  I420, 89.138036678, 2.32, 34.280573, 0.978937, 0.983506
ICE_plr1_8022, ICE_, 704x576,  I420, 97.4240797887, 2.89, 42.101472, 0.994512, 0.995341
ICE_plr10_8022, ICE_, 704x576,  I420, 61.7789233468, 0.68, 26.645242, 0.935323, 0.928033
ICE_plr10_5462, ICE_, 704x576,  I420, 65.5452177316, 0.72, 27.920174, 0.941280, 0.934116
ICE_plr0.1_8552, ICE_, 704x576,  I420, 99.9505740688, 3.98, 57.774565, 0.998948, 0.999014
ICE_plr0.4_8022, ICE_, 704x576,  I420, 99.6570140616, 3.59, 50.394322, 0.997496, 0.997949
ICE_plr5_5462, ICE_, 704x576,  I420, 83.3379077977, 1.53, 32.690262, 0.971516, 0.968951
ICE_plr3_5462, ICE_, 704x576,  I420, 86.3318455436, 1.92, 33.700596, 0.979404, 0.978857
ICE_plr1_167, ICE_, 704x576,  I420, 94.7366751973, 2.36, 39.805472, 0.991231, 0.991427
ICE_plr0.4_2081, ICE_, 704x576,  I420, 99.5225774963, 3.65, 54.132581, 0.998428, 0.998751
ICE, ICE_, 704x576,  I420, 99.9891919339, none, 60.000000, 0.999555, 0.999807
ICE_plr3_2081, ICE_, 704x576,  I420, 92.3618904885, 2.49, 36.198246, 0.986705, 0.987550
ICE_plr5_8022, ICE_, 704x576,  I420, 77.456899837, 1.15, 30.543836, 0.963213, 0.961178
ICE_plr0.1_4109, ICE_, 704x576,  I420, 99.9087801824, 4.46, 56.713515, 0.999169, 0.999516
PARKJOY_plr0.4_8022, PARKJOY_, 704x576,  I420, 99.9558590591, 3.2, 46.782496, 0.995843, 0.997298
PARKJOY_plr1_8022, PARKJOY_, 704x576,  I420, 99.4851838092, 2.4, 38.682667, 0.988024, 0.989074
PARKJOY_plr0.4_6859, PARKJOY_, 704x576,  I420, 99.964724337, 3.11, 47.658980, 0.993384, 0.994572
PARKJOY_plr0.1_4109, PARKJOY_, 704x576,  I420, 99.9897106736, 3.87, 55.888878, 0.998953, 0.999276
PARKJOY_plr3_5462, PARKJOY_, 704x576,  I420, 93.1487310064, 1.55, 29.456407, 0.953916, 0.957906
PARKJOY, PARKJOY_, 704x576,  I420, 99.9897106736, none, 60.000000, 1.000000, 1.000000
PARKJOY_plr0.1_4374, PARKJOY_, 704x576,  I420, 99.9897106736, 3.57, 54.769218, 0.998248, 0.998200
PARKJOY_plr1_4003, PARKJOY_, 704x576,  I420, 98.4754889446, 2.18, 36.787071, 0.977139, 0.978484
PARKJOY_plr3_4109, PARKJOY_, 704x576,  I420, 95.8129795701, 1.86, 31.714782, 0.958788, 0.962363
PARKJOY_plr10_4109, PARKJOY_, 704x576,  I420, 70.2244931785, 0.9, 23.442848, 0.873316, 0.887708
PARKJOY_plr10_167, PARKJOY_, 704x576,  I420, 61.9601450771, 0.45, 22.086016, 0.838124, 0.851845
PARKJOY_plr5_7393, PARKJOY_, 704x576,  I420, 89.0112440327, 1.46, 28.108438, 0.937132, 0.942609
PARKJOY_plr5_4003, PARKJOY_, 704x576,  I420, 84.9374621644, 1.33, 26.484528, 0.912515, 0.921046
SOCCER_plr1_4109, SOCCER_, 704x576,  I420, 98.9639598773, 2.55, 41.222410, 0.987598, 0.986843
SOCCER_plr5_7393, SOCCER_, 704x576,  I420, 83.7177396727, 1.49, 31.251137, 0.944135, 0.942300
SOCCER_plr10_6859, SOCCER_, 704x576,  I420, 64.9306793187, 0.75, 25.801974, 0.882545, 0.872897
SOCCER, SOCCER_, 704x576,  I420, 99.9913681048, none, 60.000000, 0.999999, 1.000000
SOCCER_plr0.1_4374, SOCCER_, 704x576,  I420, 99.402274059, 3.99, 55.662267, 0.997933, 0.998060
SOCCER_plr0.4_4374, SOCCER_, 704x576,  I420, 99.7695059649, 3.35, 49.982186, 0.994203, 0.993264
SOCCER_plr10_2081, SOCCER_, 704x576,  I420, 64.9967791003, 0.64, 26.341626, 0.884378, 0.877582
SOCCER_plr3_2081, SOCCER_, 704x576,  I420, 88.7892956481, 1.78, 32.362991, 0.956723, 0.953667
SOCCER_plr5_4109, SOCCER_, 704x576,  I420, 79.2132470335, 1.15, 28.534645, 0.925549, 0.921266
SOCCER_plr0.1_7393, SOCCER_, 704x576,  I420, 99.7207160407, 4.03, 57.726822, 0.998889, 0.998785
SOCCER_plr1_5462, SOCCER_, 704x576,  I420, 98.9560659671, 3.02, 45.973636, 0.990090, 0.990751
SOCCER_plr3_4003, SOCCER_, 704x576,  I420, 92.5969446616, 2.04, 34.203477, 0.965474, 0.963101
SOCCER_plr0.4_167, SOCCER_, 704x576,  I420, 99.7368415401, 3.61, 53.927484, 0.997333, 0.997257
