Source_file,Ref video,  Resolution, Color_encoding, Aggregate_vmaf, Subject_score
foreman_plr10_8022, foreman_, 352x288,  I420, 65.6553872132, 0.846069575, 27.474870, 0.907226, 0.907596
mother_plr10_8420, mother_, 352x288,  I420, 63.5564357464, 1.512140875, 31.651295, 0.945933, 0.944984
news_plr0.1_2081, news_, 352x288,  I420, 98.4151933719, 4.79350375, 57.766642, 0.999727, 0.999932
news_plr10_8297, news_, 352x288,  I420, 66.3049474426, 1.304268875, 28.091168, 0.942402, 0.950781
news_plr1_8022, news_, 352x288,  I420, 94.3540009872, 3.177613125, 46.465332, 0.994837, 0.994953
news_plr10_1790, news_, 352x288,  I420, 64.5295349464, 1.1406042, 28.278980, 0.936661, 0.932637
news_plr3_8022, news_, 352x288,  I420, 85.6710359944, 1.36148075, 35.961526, 0.977138, 0.974895
news_plr5_8022, news_, 352x288,  I420, 77.6714532329, 1.766555, 32.549479, 0.966509, 0.963450
news, news_, 352x288,  I420, 98.5330852224, 4.81659625, 60.000000, 0.999979, 0.999998
news_plr0.1_8022, news_, 352x288,  I420, 98.4549362208, 4.762814375, 59.155430, 0.999814, 0.999884
news_plr0.4_8297, news_, 352x288,  I420, 97.5541793745, 4.0475275, 54.070412, 0.997500, 0.998405
news_plr0.4_8253, news_, 352x288,  I420, 97.5137556819, 3.7582075, 55.878851, 0.998179, 0.997900
news_plr5_1587, news_, 352x288,  I420, 78.744778526, 1.6692275, 32.486981, 0.965384, 0.960070
news_plr1_8297, news_, 352x288,  I420, 95.0013077454, 3.0037575, 47.094278, 0.994237, 0.994029
news_plr3_2081, news_, 352x288,  I420, 83.9721013992, 1.37862075, 36.478927, 0.975087, 0.977880
paris_plr3_7393, paris_, 352x288,  I420, 79.1748593227, 0.960776, 29.157726, 0.956253, 0.961257
paris_plr0.4_2081, paris_, 352x288,  I420, 98.2509071758, 4.053715625, 48.478866, 0.997996, 0.998952
paris_plr0.1_3176, paris_, 352x288,  I420, 97.8520169228, 3.434136875, 54.671833, 0.997858, 0.998564
paris_plr0.1_1825, paris_, 352x288,  I420, 98.8430508483, 4.28787125, 56.998457, 0.999362, 0.999619
paris_plr0.4_3176, paris_, 352x288,  I420, 97.7918122461, 4.11035625, 51.550077, 0.997294, 0.998817
paris_plr5_3652, paris_, 352x288,  I420, 73.6187644248, 1.461039625, 27.950512, 0.942767, 0.957967
paris_plr10_3652, paris_, 352x288,  I420, 59.2637664063, 0.83556225, 23.663915, 0.896987, 0.916683
paris_plr1_3176, paris_, 352x288,  I420, 94.991712721, 3.02020375, 36.074724, 0.992426, 0.996088
paris, paris_, 352x288,  I420, 99.082283429, 4.7902475, 60.000000, 0.999990, 1.000000
paris_plr3_522, paris_, 352x288,  I420, 80.464587079, 0.9923422, 30.997866, 0.956382, 0.951605
paris_plr5_8253, paris_, 352x288,  I420, 73.1480992292, 1.398097125, 28.612820, 0.937283, 0.938747
paris_plr1_8043, paris_, 352x288,  I420, 96.7102814916, 3.296200875, 42.775793, 0.993031, 0.995494
paris_plr10_5462, paris_, 352x288,  I420, 54.8349803343, 0.85532305, 24.105136, 0.892759, 0.898284
