,subj 1,subj 2,subj 3,subj 4,subj 5,subj 6,subj 7,subj 8,subj 9,subj 10,subj 11,subj 12,subj 13,subj 14,subj 15,subj 16,subj 17,subj 18,subj 19,subj 20,subj 21,subj 22,subj 23,subj 24,subj 25,subj 26,subj 27,subj 28,subj 29,subj 30,subj 31,subj 32,subj 33,subj 34,subj 35,subj 36,subj 37,subj 38,subj 39,subj 40,sum
CROWDRUN_plr5_4374,1.06,1.66,2.95,1.5,1.5,1.45,1.01,0.73,2.25,1.89,2.07,0.47,0.75,1.27,1.42,1.37,1.5,1.37,1,2.2,2.75,0.75,2.36,1.22,3.34,3.26,1.3,2.15,1.94,1.45,2.51,2.59,1.04,1.5,1.45,1.42,2.25,0.93,2.44,2.25,1.71
CROWDRUN_plr10_4374,1.81,0.1,2.38,1.79,0,0,0,0.21,0.25,0.28,0.75,0.13,0.75,0.44,1.42,0.21,0.25,0.18,0,0.83,1.25,1.42,0.54,0.47,0.8,0.47,0.34,0.1,0.36,0.05,0.26,1.5,0.6,0.25,0.28,1.48,2.5,0.26,0.91,0,0.64
CROWDRUN_plr10_4109,1.76,0.05,2.05,0.39,0.25,0,0,0.49,0.5,0.65,1.09,0,0,0.67,0.28,2.25,0.54,0.85,0.5,2.67,1.5,1.53,0.47,0.5,1.55,0.16,0.49,0,0.6,0.25,0.75,1.75,0.57,0.25,0.54,0.83,2.07,0.57,0.75,0,0.75
SOCCER_plr0_0,4.95,5,4.92,4.66,5,5,5,5,5,5,5,5,5,5,5,5,4.69,5,5,5,4.02,4.95,4.59,4.53,5,4.97,5,4.2,4.95,5,3.91,4.87,4.87,4.87,4.69,4.22,4.79,4.84,4.87,5,4.83
SOCCER_plr0.1_4374,4.72,4.64,3.94,4.17,4.19,3.63,5,3.37,3.45,3.7,3.83,4.12,4.25,3.29,3.5,3.55,3.63,4.12,4.33,4.4,3.5,2.28,4.59,4.48,4.33,3.47,3.5,3.91,4.61,4.74,4.43,4.35,4.46,4.07,3.26,3.08,4.5,4.25,4.07,4,3.99
SOCCER_plr0.1_7393,3.73,3.68,4.09,3.37,5,3.55,5,3.55,4.07,3.58,3.7,3.99,3.5,3.52,3.37,3.63,3.47,3.29,5,4.84,4.61,4.74,4.56,3.6,4.15,3.6,3.81,5,4.69,4.15,3.08,4.38,3.73,4.64,4.38,3.91,3.75,4.46,4.72,3.5,4.03
SOCCER_plr0.4_4374,2.82,3.39,3.7,3.94,3.63,2.75,3.6,3.39,3.39,3.47,2.88,4.09,3.37,2.72,2.54,2.46,2.44,3.58,2.9,3.81,3.25,4.12,3.55,3.55,4.07,3.91,3.63,3.47,3.63,2.38,2.8,3.75,3.52,3.5,3.21,3.52,3.25,3.03,3.6,3.25,3.35
SOCCER_plr0.4_167,3.6,3.76,4.09,3.52,3.25,3.55,3.6,3.29,3.94,3.52,3.63,2.67,1.75,3.26,3.63,3.06,3.13,3.73,3.25,3.76,3.65,4.61,3.76,3.6,4.35,3.01,2.59,3.63,4.17,4.04,4.66,3.75,3.83,4.04,3.52,3.47,4,4.02,4.38,3.5,3.61
SOCCER_plr1_5462,3.52,2.56,3.5,2.44,3.03,2.8,1.97,3.01,3.19,2.69,3.37,2.54,2.64,2.15,2.49,2.69,2.18,4.3,2.33,3.55,2.46,4.92,3.16,3.42,4.59,3.32,2.98,3.06,3.58,1.84,2.52,4,3.47,3,1.79,3.19,3,3.19,2.88,3.37,3.02
SOCCER_plr1_4109,2.72,2.56,3.03,1.84,2.5,0.88,2.49,2.02,2.62,2.51,2.49,2.41,1,2.05,1.48,2.98,2.28,2.25,2.5,4.02,2.46,2.38,2.54,3.37,3.03,3.29,1.42,2.54,1.94,2.2,3.24,3,2.82,2.93,2.07,3.73,2.75,2.75,2.85,4.12,2.55
SOCCER_plr3_4003,2.72,2.75,2.77,1.5,1.25,1.5,0.52,1.32,1.53,2.02,1.79,1.25,1.55,1.84,1.42,1.99,1.97,2.38,1.5,3.94,3,2.25,2.51,2.46,3.65,2.95,1.3,1.94,2.36,1.61,2.64,3,2.56,0.5,1.17,1.14,2.5,2.07,3.16,1.32,2.04
SOCCER_plr3_2081,2.59,1.24,2.56,1.94,0.5,2.18,0.54,1.79,2.28,1.4,2.38,0.93,0.73,1.53,2.36,1.68,1.63,2.23,1.25,2.59,2.25,2.51,1.61,1.35,2.98,1.5,1.42,2.02,1.48,1.45,1.5,2.5,2.18,2.46,0.78,1.55,2.25,1.35,1.48,2.15,1.78
SOCCER_plr5_4109,2.12,0.49,2.44,1.79,0,0,0,1.14,1,1.19,1.55,1.68,1.01,0.47,0.49,0.18,0.88,0,0.25,1.99,2,1.32,1.22,1.11,2.64,1.19,0.57,1.55,1.5,0.88,1.76,1.5,2.1,0.5,0.85,2.88,1,0.6,0.75,1.55,1.15
SOCCER_plr5_7393,1.24,1.99,2.8,1.58,1,1.53,0,1.04,0.73,1.48,1.45,0.34,1.5,0.7,1.66,0.93,2.12,0.8,0.5,2.72,1.97,1.76,1.66,2.1,3.16,1.55,1.48,1.5,1.81,1.09,1.87,1.55,2.18,1.5,0.98,2.64,2.5,0.62,1.14,0.5,1.49
SOCCER_plr10_2081,1.92,0.08,0.96,1.09,0,0,0,0.23,0,0.75,0,0.36,0.25,0.25,0.47,0.36,0.8,0.54,0,1.71,1,0.49,0.39,1.09,1.24,1.27,0.7,0.75,0.8,0.6,1.5,1,0.91,0.5,1.09,0.83,0.5,0.73,0.43,0,0.64
SOCCER_plr10_6859,1.89,0.1,1.66,1.01,0.25,1.04,0,0.85,0,0.41,0.39,0,0.23,0.49,0.44,1.01,0.62,0,0,1.87,1.5,1.14,0.49,0.47,0.91,0.93,0.39,1.48,1.06,0.05,1.35,1.25,1.22,0.5,0.91,1.53,0.25,0.57,1.19,0.75,0.75
PARKJOY_plr0_0,5,5,4.92,3.86,5,5,5,3.86,5,5,3.86,5,5,4.97,5,5,4.69,5,4.25,4.61,4.59,5,4.53,4.61,5,4.59,4.51,4.92,4.66,3.73,4.87,4.87,4.46,4.66,4.84,4.4,4.5,4.48,5,5,4.71
PARKJOY_plr0.1_4374,3.68,3.45,3.52,3.5,3.26,3.47,2.62,3.11,4.27,3.45,3.58,3.99,2.77,3.01,2.67,3.5,3.24,4.35,3.81,4.2,3,4.77,3.55,4.38,3.81,3.03,3.32,3.58,3.16,3.65,3.76,3.75,3.5,3.65,3.34,3.78,3.5,3.89,4.66,3.16,3.57
PARKJOY_plr0.1_4109,3.81,3.89,4.07,3.68,4.02,2.05,3.55,3.68,3.55,3.5,3.29,3.6,3.5,3.7,3.5,3.99,3.34,3.83,5,4.33,2.82,4.12,3.55,4.56,4.2,3.26,3.68,4.69,3.99,3.65,4.87,4.72,4.77,4.2,3.91,2.95,4.25,4.64,4.56,3.7,3.87
PARKJOY_plr0.4_8022,3.16,2.67,3.06,3.39,3.34,3.58,2.98,3.01,3.43,3.52,2.54,3.08,3.06,2.49,2.49,2.95,2.54,2.44,2.5,3.63,2.51,3.21,4.4,2.56,3.86,3.83,3.58,3.63,3.5,2.88,3.5,4,3.58,3.75,3.63,3.81,3.25,2.67,3.32,2.75,3.2
PARKJOY_plr0.4_6859,3.6,2.69,3.78,3.26,1.5,1.3,2.51,2.41,3.7,3.6,2.85,2.69,3,2.2,3.52,3.34,2.38,3.52,3,2.93,3.11,3.63,3.58,3.47,3.96,3.52,2.82,3.32,2.72,3.03,3.26,3.75,2.31,3.73,3.16,3.7,3.75,3.58,3.63,2.5,3.11
PARKJOY_plr1_4003,2.77,2.56,3.16,1.01,1.5,1.42,0.54,2.31,3.47,2.18,2.28,2.51,1.75,1.55,1.53,2.36,1.94,2.2,1.75,2.54,2.1,2.2,1.5,1.42,3.81,2.41,1.99,2.05,2.82,1.84,3.5,3.5,2.56,1.81,1.55,1.48,2,2.05,2.95,2.49,2.18
PARKJOY_plr1_8022,2.82,2.85,2.64,2.69,1.75,2.44,1.53,2.51,1.67,2.25,2.1,2.51,2.67,1.87,2.44,2.51,2.72,1.95,1.75,2.62,3,2.41,2.36,3.5,3.7,2.46,1.87,2.44,1.87,1.19,2.05,3.25,1.58,2.75,2.62,2.72,1.5,1.74,2.67,3.95,2.4
PARKJOY_plr3_5462,1.19,1.68,2.23,2.18,1,2.23,0.18,1.09,1.32,0.96,1.5,0.96,1.75,1.04,0.44,1.42,1.75,0.62,1.55,2.36,2.25,0.85,1.94,1.45,2.56,1.92,1.42,1.35,1.76,0.96,1.45,1.75,0.6,1.89,3.01,1.79,1.25,0.98,1.97,3.25,1.55
PARKJOY_plr3_4109,0.8,2.1,1.71,2.77,1.99,1.76,0,1.17,2.25,1.53,1.4,1.99,2,1.45,0.49,2.23,1.3,0.85,0.25,2.56,2.5,2.41,2.25,2.28,2.59,1.4,1.35,2.44,1.74,1.22,2.95,2.12,2.88,2.07,1.81,2.51,2.5,2.51,2.28,2.15,1.86
PARKJOY_plr5_4003,1.5,0.93,2.28,3.16,0,0,0,1.04,1.99,1.53,0.36,0.41,0.5,0.5,0.41,1.32,0.23,1.14,0,3.24,2,1.35,1.55,1.48,2.62,1.48,0.1,1.76,0.44,0.75,3.5,3.5,0.41,1.3,1.04,1.68,2.1,1.48,1.48,2.5,1.33
PARKJOY_plr5_7393,1.63,1.81,2.41,1.63,2.1,0.39,1.35,0.91,2,0.8,1.45,1.19,0.75,1,0.44,1.71,0.91,1.66,0.25,2.1,2,2.1,2.02,1.53,2.59,1.79,2.15,1.5,0.88,0.6,1.53,2,1.42,1.5,1.48,1.94,1.25,0.7,2.18,0.75,1.46
PARKJOY_plr10_4109,1.81,0.41,1.89,0.96,0,0.5,0.08,0.49,0.75,0.54,1.48,0.88,0.18,0.44,0.36,1.01,0.78,0.67,0.13,1.76,1.75,2.49,0.7,1.25,2.5,1.03,0.36,0.83,0.7,0.47,1.63,1.5,0.41,0.75,0.18,0.85,1,0.7,0.57,1,0.9
PARKJOY_plr10_167,1.79,0,1.14,0.75,0,0.96,0,0.16,0.62,0.44,0,0,0,0.31,0.47,0.36,0.23,0,0,0.83,1.14,0.49,0.49,0.52,0.54,0.91,0.44,0.21,0.26,0.08,0.39,1.25,0.21,0.5,0.62,0.6,0.25,0.34,0.6,0,0.45
ICE_plr0_0,4.77,4.74,4.77,4.64,5,5,5,4.53,5,5,5,5,5,4.97,4.77,5,4.51,5,5,4.48,4.48,3.73,4.59,4.53,4.95,5,4.97,4.59,4.87,5,4.87,4.95,4.87,5,2.44,4.51,4.5,4.59,5,4.25,4.72
ICE_plr0.1_8552,3.76,3.86,3.94,3.75,2.88,3.68,4.04,3.42,3.5,3.5,3.63,3.5,3.94,3.5,3.52,3.76,3.65,3.68,3.86,4.15,3.63,4.27,3.58,4.48,4.64,4.02,4.3,4.53,4.33,4.04,5,4.64,4.07,4.27,3.94,4.61,4.04,4.33,4.27,4.66,3.98
ICE_plr0.1_4109,4.51,3.68,4.12,4.04,5,3.45,3.55,5,4.69,5,3.75,5,5,3.7,3.5,5,3.6,5,5,4.43,3.99,5,4.59,4.61,5,3.99,5,5,4.82,5,4.59,4.75,4.43,4.12,4.64,4.43,4.25,4.74,4.09,4.5,4.46
ICE_plr0.4_2081,3.52,3.6,3.08,4.22,3.89,3.16,3.52,3.13,3.78,2.75,3.63,3.34,3.39,3.52,3.6,2.98,3.01,4.38,3.5,4.35,3,3.55,3.58,3.86,4.09,3.29,3.37,3.26,4.25,4.3,4.25,4.33,3.29,4.07,3.89,3.68,3.75,2.88,4.82,4.07,3.65
ICE_plr0.4_8022,3.19,3.55,3.52,2.85,3.86,2.95,2.95,2.95,4.07,3.89,3.37,3.29,2.75,2.9,3.47,5,3.29,3.29,3.75,4.09,3.94,1.35,3.78,3.6,4.43,3.99,3.78,3.86,3.81,3.96,3.68,4.27,4.07,4.12,2.8,3.7,4,3.52,4.15,3.89,3.59
ICE_plr1_8022,2.85,2.85,2.85,3.68,3.06,1.89,2.54,2.8,1.19,2.88,2.54,2.59,2.62,1.5,2.46,2.59,2.51,1.84,2.25,3.37,2.5,3.39,2.85,3.5,3.65,2.93,2.15,3.42,3.68,1.66,4,3.75,3.63,3,3.96,3.47,3.75,2.69,3.91,3,2.89
ICE_plr1_167,2.56,2.15,2.77,2.54,2.5,1.5,2.51,2.02,1.99,2.25,2.46,0.9,1.5,1.99,2.59,2.54,1.97,2.54,1.75,2.54,2,2.67,2.49,2.23,3.45,2.95,2.02,2.38,2.8,1.35,2.85,3,2.44,1.5,2.36,2.8,3.25,2.18,3.94,2.05,2.36
ICE_plr3_2081,3.06,2.56,2.88,2.41,1.99,2.2,1.48,2.12,1.97,2.15,2.67,2.67,2.23,1.68,2.54,2.54,1.94,2.33,1.5,3.86,2.25,3.08,2.54,2.59,3.45,2.12,2.64,2.49,2.49,1.81,2.05,3.75,3.63,2.77,1.76,1.76,2.5,2.98,3.52,2.54,2.49
ICE_plr3_5462,2.28,2.49,3.03,2.25,1.5,1.22,0.54,1.11,1.45,1.53,1.37,2,2,0.62,1.48,1.45,1.99,0.93,1.25,2.62,2.02,2.25,2.54,1.48,2.82,1.8,2.18,1.71,2.85,1.53,2.07,3,1.61,1.75,1.79,2.62,3,1.58,2.77,2.33,1.92
ICE_plr5_5462,1.11,0.78,2.69,2.07,1.74,1.35,0.96,1.63,1.68,1.55,1.11,1.48,0.85,1.48,1.35,1.4,1.92,2.18,1.5,2.33,2,1.04,1.5,1.53,2.54,1.37,1.27,1.45,1.61,1.81,2.31,1.25,0.52,0.5,1.14,1.48,2.25,1.68,1.45,1.5,1.53
ICE_plr5_8022,1.19,0.73,2.12,0.8,0,0,0.49,0.6,0.62,0.47,0,1,0,1.04,0.44,0.49,0.83,0.8,0,2.69,1.68,0.62,0.96,1.58,3.5,1.45,0.73,1.74,0.98,1.11,1.97,0.75,1.48,1.35,2.46,2.51,2.25,1.48,1.74,1.25,1.15
ICE_plr10_5462,0.34,0.39,2.33,2,0,0.26,0,0.91,0.25,0.31,1.48,0.26,0.08,0.23,0.49,0.73,0.67,0,0,1.97,1,0.13,0.49,0.91,0.75,1.14,0.49,0.34,0.49,0.36,1.24,1.75,0.93,1,0.96,1.22,1.25,0.47,0.7,0.5,0.72
ICE_plr10_8022,0.62,0,1.89,0.83,0,0,0,0.31,0.5,0.41,1.42,0.18,0,0,0.36,0.13,1.32,0.49,0,1.68,1.4,1.22,0.57,0.41,1.94,0.5,0.47,0.34,0.39,0.49,2,0.26,0.91,1.01,0.36,1.3,1.25,0.54,1.66,0,0.68
HARBOUR_plr0_0,4.77,5,4.9,4.4,5,5,5,4.48,5,5,5,5,5,5,4.92,5,4.17,5,5,4.46,3.96,4.74,4.51,4.59,4.84,4.79,5,5,4.84,5,4.77,4.75,4.46,4.92,4.9,4.46,4.92,4.59,5,5,4.8
HARBOUR_plr0.1_8552,4.95,3.76,4.74,4.51,5,3.52,5,3.86,5,3.47,5,5,3.94,5,2.59,4.02,3.45,3.68,3.75,4.3,3.68,4.72,4.59,4.51,4.09,3.73,4.56,3.65,2.28,5,4.3,4.75,4.07,3.73,4.12,4.04,4.92,3.55,4.69,4.75,4.21
HARBOUR_plr0.1_7393,3.47,3.63,4.09,3.42,5,2.54,2.98,3.29,3.83,3.21,3.52,3.73,3.75,3.78,3.47,4.02,2.77,3.86,3.75,3.78,3.5,4.69,3.55,3.55,4.48,3.34,4.12,3.63,4.25,4.02,4.04,4,3.58,4.12,2.44,3.65,3.04,3.65,2.98,4.3,3.67
HARBOUR_plr0.4_8552,3.21,4.09,3.96,3.96,5,4.84,5,3.16,4.27,3.76,3.6,4.72,3.75,3.39,3.63,3.99,3.86,5,3.75,3.16,3.6,3.39,3.58,4.64,4.2,4.33,4.27,5,4.12,4.25,4.09,4.75,4.22,4.95,4.07,4.48,4.25,3.52,5,4.77,4.14
HARBOUR_plr0.4_7393,3.86,3.7,4.2,4.07,3.5,3.34,3.99,3.21,4.15,3.29,3.65,4.69,4.56,3.76,3.55,3.73,3.39,3.89,3.5,4.27,3.5,5,4.61,4.59,3.99,3.47,4.07,5,4.17,4.4,4.95,4.25,4.27,3.89,3.83,3.42,5,5,4.4,3.94,4.05
HARBOUR_plr1_5462,3.11,3.6,3.76,2.95,2.62,2.44,3.6,3.21,3.5,1.97,2.85,2.54,2.93,3.01,2.62,2.51,2.72,3.19,2.75,3.34,2.5,3.19,3.58,3.5,3.94,3.01,3.26,3.73,2.8,1.53,4.4,4,3.39,3.5,2.15,3.34,3.03,3.11,3.83,3.45,3.11
HARBOUR_plr1_167,3.78,2.46,3.08,3.52,2.5,2.49,2.49,3.03,3.47,3.55,2.59,2.28,2.75,2.36,2.46,2.75,2.5,3.99,2.25,3.65,3,3.65,3.52,3.47,3.86,3.24,3.5,3.86,3.83,2.23,4.04,3.75,2.51,3.5,2.07,3.16,3.75,2.77,3.58,2.54,3.09
HARBOUR_plr3_5462,2.75,1.19,2.38,2.98,2.31,1.55,0.98,2.12,1.71,2.2,2.2,0.78,1.37,1.53,1.53,2.28,1.89,2.02,1.75,3.21,2,2.25,3.58,2.46,3.37,2.98,2.28,2.64,2.49,1.99,2.85,3.25,2.88,2.25,2.64,3.32,3.75,2.07,2.36,2.77,2.32
HARBOUR_plr3_8022,2.75,2.12,2.88,3.03,2,1.42,1.99,2.18,1,1.97,2.46,2.69,0.5,1.53,1.61,2.54,1.42,3.45,1.75,2.82,2.5,2.67,2.49,2.56,3.58,2.82,2.18,2.46,2.64,1.79,2.12,3.25,2.98,2.5,1.48,3.37,3.25,2.64,1.75,1.48,2.32
HARBOUR_plr5_4109,2.75,0.8,2.88,1.53,2,1.75,0.47,1.84,2.26,1.79,1.63,0.62,0.88,1.53,1.53,2.56,0.93,2.1,1.25,1.24,1.93,1.61,2.51,1.45,2.56,1.45,2.49,2.46,1.87,1.3,2.39,1.75,1.92,2.38,1.81,2.77,3.75,0.39,3.32,2.28,1.87
HARBOUR_plr5_7393,2.15,1.06,2.59,2.72,1.5,0,1.01,1.79,1.71,2.41,1.71,1.53,3.11,2.25,1.5,2.56,1.01,1.63,1.75,2.88,2.25,2.18,3.6,2.51,3.08,3.19,1.81,2.54,1.55,1.5,3.25,3,1.14,1.5,1.92,2.41,3,0.7,1.92,3.75,2.09
HARBOUR_plr10_8022,2.15,0.62,2.62,1.11,0.25,1,0,0.49,1.17,0.8,0.25,0.08,1.35,1.06,0.54,1.42,0.75,0.44,0.25,1.63,1.35,1.04,1.79,0.49,2.33,0.6,0.78,0.62,1.79,0.98,2.33,2.5,0.54,1,0.73,0.78,3.25,0.5,1.04,1.69,1.1
HARBOUR_plr10_4109,2.2,1.89,2.07,3.32,1,1.87,0,0.6,1.09,1.55,0.65,1.37,0.25,1.5,0.47,1.99,1.5,0.83,1,2.12,1.74,0.62,1.79,1.01,2.41,2.51,1.74,1.5,2.51,1.27,2.75,1.89,0.44,1.58,1.97,2.25,2.25,0.83,2.43,1.84,1.57
DUCKSTAKEOFF_plr0_0,5,5,4.92,4.66,5,5,5,4.59,5,5,5,5,4.64,4.92,4.79,5,3.89,5,5,4.33,3.5,4.53,4.56,4.43,5,4.66,4.51,5,4.9,4.35,5,4.75,5,4.5,4.72,4.17,4.75,4.25,4.77,3.89,4.7
DUCKSTAKEOFF_plr0.1_5462,3.76,3.68,4.12,4.04,4.15,2.95,5,3.11,4.22,3.76,3.47,2.64,3.76,2.8,3.81,3.68,3.01,4.64,5,3.89,2.93,3.86,3.5,3.42,4.48,4.64,3.45,3.96,4.25,4.69,4.04,4,3.83,3.5,3.47,3.83,3.75,4.02,3.94,3.42,3.81
DUCKSTAKEOFF_plr0.1_8022,4.02,4.15,4.15,3.76,4.25,2.33,5,4.25,4.95,3.42,5,5,4.25,4.48,3.52,4.27,3.19,4.07,3.75,4.59,2.38,5,4.56,4.53,4.87,3.08,4.27,4.64,4.56,5,5,4.5,4.61,4.27,4.53,4.51,3.25,3.55,4.51,5,4.23
DUCKSTAKEOFF_plr0.4_2081,3.86,3.11,3.5,3.32,3.94,3.42,3.01,3.03,3.13,3.78,2.93,3.29,2.9,2.69,2.49,3.52,2.51,3.81,5,4.07,3.01,5,4.35,2.46,4.2,3.47,3.89,3.5,4.12,4.56,3.63,4.5,3.6,3.58,3.63,3.89,4,3.06,4.33,3,3.58
DUCKSTAKEOFF_plr0.4_7393,3.6,3.11,3.73,3.7,3.5,1.87,3.55,2.75,3.83,3.5,3.68,2.51,3.25,3.01,3.52,3.47,3.13,2.59,3.25,4.33,2.5,3.55,3.94,3.6,4.3,3.86,3.5,3.45,2.72,4.02,3.81,3.45,3.6,3.75,4.15,3.58,4,3.06,2.2,3.5,3.41
DUCKSTAKEOFF_plr1_4003,2.62,1.11,2.62,3.32,2.5,1.55,0.52,1.68,1.89,3.11,1.45,1.87,1.75,1.5,1.42,1.53,1.17,1.45,2.25,2.02,1.75,1.3,2.51,2.46,3.63,2.62,1.42,2.56,1.63,1.61,2.02,3,2.54,3.06,2.28,3.34,3.25,1.53,2.5,2.5,2.12
DUCKSTAKEOFF_plr1_5462,3.76,3.16,3.01,3.45,3.86,1.11,2.46,1.66,2.25,3.29,2.82,2.15,2.56,1.42,2.49,3.03,2.82,2.64,3.03,3.91,2.46,2.64,2.56,2.59,3.81,3.01,2.75,2.33,3.03,3.7,3.06,3.5,2.8,2.5,2.41,3.63,3,3.01,3.01,3.08,2.84
DUCKSTAKEOFF_plr3_1825,2.54,2.05,2.36,2.88,1,0,0.96,1.5,1.98,2.49,1.58,1.45,2.07,1.48,0.39,2.44,1.76,1.22,1.75,2.9,1.53,1.27,2.51,2.41,2.51,3.24,1.4,1.17,1.81,1.11,3.01,2,2.07,2.5,0.62,2.41,2.25,2.25,2.02,2,1.87
DUCKSTAKEOFF_plr3_4374,2.25,0.8,1.87,1.84,1.25,1.48,0,0.91,0.75,1.58,1.37,1.48,1.76,1.06,1.48,1.01,0.8,0.96,1,2.56,1.5,1.66,1.53,0.93,2.62,1.42,0.44,1.5,0.85,0.82,1.99,2.31,0.8,1.5,0.78,0.83,1.75,1.04,3.58,2.02,1.4
DUCKSTAKEOFF_plr5_3693,2.8,0.47,0.96,2.38,0,0,0,0.49,0.6,0.49,0,0,0.5,0,0.39,1.01,0.44,0,0,2.36,0.83,0.25,0.49,0.49,2.18,1.48,0.44,0.51,0.31,0.52,2.56,0.75,0.21,0.25,0.18,0.78,1.75,0.54,0.8,0.75,0.72
DUCKSTAKEOFF_plr5_7393,2.38,2.25,0.98,1.84,0.25,0,0,1.53,0.6,2.15,1.79,0.91,1.01,0.49,0.34,1.3,1.32,1.27,1.75,2.82,1.25,1.81,1.97,0.62,0.88,1.89,0.96,0.65,0.21,1.06,1.48,2.25,0.54,0.98,0.73,1.42,1.5,0.93,3.13,2.05,1.28
DUCKSTAKEOFF_plr10_8552,1.19,0,1.42,0.52,0.75,0.25,0,0.57,0,0.57,0,0,0.23,0,0.52,0.47,0.73,0.67,0,1.5,0.78,0.65,0.52,0.6,0.13,0.44,0.85,0.21,0.25,0.41,1.19,1.11,0.16,0.75,0.75,1.22,0.75,0.75,0.49,0,0.54
DUCKSTAKEOFF_plr10_4109,1.4,0.26,1.89,1.42,0.5,0,0,0.49,0,0.41,0,0,0.5,0.39,0.49,0.56,0.44,0,0.75,2.23,0.25,0.47,0.88,0.5,0.91,1.63,0.26,0.52,0.28,0.25,2.02,1.4,0.36,0.5,0.31,0.65,1.19,0.39,1.63,1,0.68
