Part,video name,SUBJECTS' RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,MOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc07.avi               ,2,3,2,3,1,2,2,2,2,3,3,3,2,2,2,2,3,3,1,3,3,4,3,5,2,2,2,,2.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc08.avi               ,2,3,2,3,1,2,2,2,2,3,3,3,1,2,2,2,3,3,3,3,3,3,3,3,3,2,4,,2.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc09.avi               ,5,5,5,4,5,4,5,4,5,5,4,5,5,4,4,4,5,4,5,5,4,5,4,5,4,4,3,,4.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc10.avi               ,4,5,4,4,4,4,2,4,3,4,5,4,3,4,2,4,2,4,4,4,4,3,4,4,4,4,4,,3.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc11.avi               ,3,3,2,3,2,2,2,3,2,3,3,2,2,2,2,3,2,3,2,3,3,3,3,4,2,2,2,,2.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc12.avi               ,1,2,2,2,1,1,1,2,2,3,1,2,1,1,1,2,2,2,1,2,2,1,2,3,2,2,2,,1.703703704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc13.avi               ,4,5,5,5,4,4,5,5,5,5,5,4,5,4,4,4,5,4,4,5,4,5,5,4,4,5,4,,4.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc14.avi               ,3,4,4,3,5,4,2,3,4,5,5,4,5,3,2,4,5,4,3,4,4,4,5,5,4,4,4,,3.925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc15.avi               ,3,3,2,3,2,2,1,2,3,3,3,3,2,2,2,3,2,2,1,3,2,3,3,4,2,2,2,,2.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc16.avi               ,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,,1.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc17.avi               ,3,3,3,3,2,3,3,4,3,3,3,3,3,2,3,3,2,4,3,4,4,4,4,3,4,4,3,,3.185185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc18.avi               ,3,3,2,3,3,2,1,2,3,4,2,3,2,2,2,2,1,3,2,3,3,3,3,3,3,3,4,,2.592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc19.avi               ,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,3,2,2,2,2,2,2,2,,1.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc20.avi               ,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,,1.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc21.avi               ,4,5,5,4,4,4,5,5,3,5,5,5,4,5,4,5,4,4,4,5,5,5,4,5,4,5,4,,4.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc22.avi               ,4,4,5,4,3,3,4,4,5,4,5,4,4,4,2,4,4,4,3,4,4,4,4,4,3,3,4,,3.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc22.avi               ,4,4,4,5,5,3,3,4,4,4,3,4,5,3,3,4,4,4,4,4,4,4,4,5,3,5,3,,3.925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc23.avi               ,3,3,2,3,2,2,1,2,3,2,3,2,2,3,2,2,2,3,2,3,3,3,3,3,3,2,3,,2.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc23.avi               ,2,3,2,3,2,2,1,2,2,3,3,3,2,2,2,2,2,3,1,3,3,3,3,3,2,2,2,,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc24.avi               ,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src02_hrc28.avi               ,4,1,1,2,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,,1.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src02_hrc29.avi               ,3,2,1,3,1,2,1,2,2,2,2,2,1,4,2,1,1,3,1,2,2,3,2,2,2,2,2,,1.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc00.avi               ,4,4,5,5,5,4,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,,4.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc00.avi               ,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,,4.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc01.avi               ,4,4,4,5,5,5,4,5,5,5,5,4,5,4,4,5,5,4,5,5,4,5,5,5,5,4,5,,4.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc02.avi               ,4,5,5,5,4,4,2,5,4,4,4,5,3,4,4,4,4,4,5,5,4,5,4,5,4,3,3,,4.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc03.avi               ,3,4,4,3,3,3,2,5,3,4,4,3,3,2,3,3,1,4,5,4,5,5,4,3,4,3,5,,3.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc04.avi               ,3,3,2,2,1,2,2,5,3,3,3,2,2,2,3,2,2,5,3,4,3,3,2,4,2,2,2,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc05.avi               ,3,5,5,5,4,4,4,4,4,5,5,4,5,5,4,5,4,4,5,5,4,4,5,3,5,4,5,,4.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc06.avi               ,4,2,4,4,4,4,2,5,4,4,4,4,3,4,4,5,4,4,4,5,4,5,4,5,4,5,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc07.avi               ,3,4,3,3,3,3,2,5,4,4,3,3,3,2,3,3,3,4,5,4,3,4,4,2,3,2,4,,3.296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc08.avi               ,2,2,2,3,2,3,2,4,2,4,3,3,1,1,3,2,1,4,4,3,2,3,2,2,2,2,2,,2.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc09.avi               ,4,4,5,5,4,4,4,5,4,5,4,5,4,5,3,5,4,5,5,5,4,5,4,5,4,5,5,,4.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc10.avi               ,4,5,4,4,5,4,2,5,4,5,4,4,3,3,4,5,4,4,5,5,4,5,5,5,4,4,2,,4.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc11.avi               ,4,2,3,3,3,2,1,4,3,4,3,3,2,2,3,3,3,4,4,3,2,3,3,4,2,2,3,,2.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc12.avi               ,3,2,2,2,1,1,1,1,2,2,2,2,1,1,3,1,1,3,2,2,2,3,2,2,2,2,2,,1.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc13.avi               ,5,5,5,5,4,4,4,5,4,5,3,5,3,5,4,5,4,5,4,5,5,5,5,5,4,5,5,,4.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc14.avi               ,4,4,5,4,4,4,3,5,5,4,4,4,3,3,4,4,4,5,5,4,4,5,4,5,4,3,4,,4.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc15.avi               ,2,3,2,4,1,2,2,2,3,4,4,3,2,2,4,2,4,3,5,3,2,3,3,3,2,4,3,,2.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc16.avi               ,1,2,1,2,1,1,1,2,2,3,2,2,1,2,2,1,1,2,1,3,1,3,2,2,1,2,1,,1.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc17.avi               ,3,3,4,2,1,4,2,4,2,3,3,2,2,2,4,2,2,4,4,3,4,3,2,3,3,2,3,,2.814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc18.avi               ,2,3,2,3,2,2,2,4,2,2,2,2,2,2,3,2,2,3,4,4,3,3,2,3,2,2,2,,2.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc19.avi               ,3,2,1,2,1,2,1,1,3,2,2,3,1,1,2,2,1,3,1,2,2,2,1,2,2,2,3,,1.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc20.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc21.avi               ,5,5,5,4,4,4,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,,4.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc22.avi               ,4,5,4,5,4,4,2,5,4,4,4,4,3,5,3,4,5,4,5,4,3,5,5,3,4,3,5,,4.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc22.avi               ,3,4,5,4,4,4,2,5,4,5,5,4,3,3,4,5,4,4,5,5,4,4,4,4,4,5,3,,4.074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc23.avi               ,4,4,3,3,3,2,1,5,3,4,4,4,3,2,3,3,3,4,4,4,3,4,4,4,3,2,4,,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc23.avi               ,2,3,3,4,4,2,1,5,3,4,3,3,3,2,3,4,4,4,4,3,3,3,4,3,3,2,3,,3.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc24.avi               ,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,1,,1.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src03_hrc28.avi               ,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,1,1,1,,1.259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src03_hrc29.avi               ,1,1,2,2,1,2,1,2,2,3,2,2,1,1,2,1,1,2,3,2,2,2,2,2,2,2,1,,1.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc00.avi               ,5,3,4,4,3,4,2,4,4,5,3,4,5,4,2,4,4,5,3,4,4,4,5,5,4,4,3,,3.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc00.avi               ,5,3,5,4,5,4,5,4,3,4,4,4,5,3,4,4,4,5,4,5,4,4,5,4,4,3,3,,4.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc01.avi               ,4,4,5,3,4,3,4,4,3,3,4,4,5,4,4,4,4,4,5,4,3,4,5,5,4,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc02.avi               ,3,3,4,4,3,4,3,4,3,4,4,3,4,5,3,4,4,4,4,4,3,4,4,5,4,4,4,,3.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc03.avi               ,4,4,5,4,4,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,5,3,3,2,,3.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc04.avi               ,3,4,4,3,3,4,3,4,3,5,3,2,3,3,3,3,3,4,3,4,3,4,4,3,3,5,3,,3.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc05.avi               ,4,4,5,3,4,4,4,4,4,4,4,3,4,3,4,4,3,5,3,5,4,4,5,4,3,4,3,,3.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc06.avi               ,3,3,3,3,2,4,2,3,3,4,3,4,3,3,3,3,2,4,3,4,3,3,4,4,4,4,3,,3.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc07.avi               ,3,3,3,2,4,2,3,2,3,3,3,2,3,2,3,2,2,4,4,3,2,4,3,4,3,2,2,,2.814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc08.avi               ,2,1,3,3,2,2,3,3,2,3,2,2,2,1,3,2,2,4,4,3,3,3,3,2,3,2,2,,2.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc09.avi               ,5,4,5,3,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,5,5,4,5,4,3,5,3,,3.962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc10.avi               ,3,3,3,3,3,4,3,4,3,4,2,3,3,3,3,3,3,4,3,4,3,3,4,4,3,4,3,,3.259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc11.avi               ,2,3,2,3,2,2,1,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,3,2,3,2,,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc12.avi               ,1,2,2,2,1,1,1,1,2,3,2,2,1,1,2,1,1,2,2,2,2,2,2,4,2,2,1,,1.740740741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc13.avi               ,3,4,5,3,4,4,5,4,3,3,4,4,5,3,4,4,4,5,4,4,4,3,5,5,4,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc14.avi               ,3,3,3,3,4,4,3,3,4,4,3,3,4,4,3,4,3,4,4,4,4,3,5,3,3,2,4,,3.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc15.avi               ,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,3,4,3,3,3,2,2,2,2,2,,2.296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc16.avi               ,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,,1.148148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc17.avi               ,3,4,5,4,4,3,4,4,3,4,3,4,5,3,4,4,4,4,4,4,3,5,4,4,3,4,2,,3.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc18.avi               ,3,3,3,3,2,3,2,3,3,3,2,3,2,2,3,2,3,4,3,3,3,3,3,4,3,3,3,,2.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc19.avi               ,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,2,2,3,1,1,1,,1.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc20.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc21.avi               ,5,4,5,3,5,4,4,5,3,4,3,4,5,3,3,4,4,4,4,4,4,4,5,5,3,4,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc22.avi               ,3,3,3,4,3,4,3,4,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,4,4,3,3,,3.518518519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc22.avi               ,3,2,3,3,3,3,3,4,3,4,3,3,5,2,4,3,4,4,4,4,3,5,4,4,3,3,3,,3.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc23.avi               ,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,1,3,2,3,2,3,2,3,2,2,2,,2.259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc23.avi               ,2,2,2,1,1,2,2,2,2,2,3,2,2,1,3,3,2,3,5,3,2,2,2,4,2,2,1,,2.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc24.avi               ,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2,,1.222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src04_hrc28.avi               ,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,3,2,1,1,,1.37037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src04_hrc29.avi               ,1,2,1,1,1,2,1,4,1,1,2,1,2,1,3,1,2,2,1,2,1,3,2,2,1,2,1,,1.62962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc00.avi               ,4,5,5,5,3,4,4,5,5,5,4,5,4,5,4,5,5,5,4,5,4,4,5,3,5,4,5,,4.481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc00.avi               ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,3,5,,4.814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc01.avi               ,4,5,5,4,3,4,4,5,5,5,5,4,3,5,3,4,3,4,5,5,5,4,4,4,5,4,5,,4.296296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc02.avi               ,3,4,5,4,3,3,3,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,3,3,,3.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc03.avi               ,3,4,2,3,3,3,2,4,3,4,3,3,2,2,3,3,1,4,3,3,3,3,3,3,3,3,3,,2.925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,src05_hrc04.avi               ,2,3,2,2,2,2,3,2,2,3,3,2,2,2,2,2,1,4,4,3,3,3,2,3,2,2,2,,2.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,src05_hrc05.avi               ,3,5,5,5,3,4,3,5,3,5,5,4,4,5,4,4,5,4,4,5,5,5,4,4,5,5,4,,4.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
